,continent,year,high_blood_sugar,obesity,high_blood_pressure,smoking,air_pollution_outdoor_&_indoor
0,Africa,1990,0.17235841693219406,0.09466282726277149,0.27331130254838004,0.12233641169953462,0.3373310415571199
1,Africa,1991,0.174028000444522,0.09654388757549481,0.27390557247840236,0.12266620131265818,0.3328563381889227
2,Africa,1992,0.17578137905516986,0.09848654454163315,0.274463036226724,0.12286678238277629,0.32840225779369675
3,Africa,1993,0.17755214774819864,0.10067605844048519,0.2752720123123606,0.12303972584912308,0.32346005564983243
4,Africa,1994,0.17932246803672325,0.10321419614045668,0.2758180469125028,0.12339402999778254,0.3182512589125347
5,Africa,1995,0.1808758310894056,0.10477242202044698,0.27618529808354414,0.12367271794176687,0.3144937308648364
6,Africa,1996,0.1825433564265587,0.10786240906076947,0.27729157593653475,0.12363657820722457,0.3086660803689125
7,Africa,1997,0.18420779345103686,0.11142995783161812,0.27816595198054345,0.12384087004881567,0.3023554266879859
8,Africa,1998,0.18569187768618228,0.11407493861472681,0.2784893488967813,0.12370458970420208,0.29803924509810753
9,Africa,1999,0.18718081490755636,0.11685101630493179,0.2790665795367146,0.12336394716539312,0.29353764208540417
10,Africa,2000,0.18870028665948793,0.11916431468464427,0.27960065607982,0.12357207908856889,0.2889626634874789
11,Africa,2001,0.19042918644865936,0.12154516976196128,0.2803249520522331,0.12303336082223346,0.28466733091491286
12,Africa,2002,0.19270680579569308,0.12371571013646947,0.2811978919138928,0.12273511108661368,0.2796444810673309
13,Africa,2003,0.19524326996941305,0.12575074576907116,0.28219539287913203,0.12243658778862769,0.27437400359375613
14,Africa,2004,0.19772995580777578,0.12747536886029776,0.2832840697845361,0.12178575693599006,0.2697248486114005
15,Africa,2005,0.20023790280856474,0.12932948730815727,0.2846990577664715,0.12105100888144286,0.26468254323536355
16,Africa,2006,0.20237064045984396,0.13077937886958804,0.2855429235430927,0.12038204744907531,0.26092500967840004
17,Africa,2007,0.20491373572749397,0.13193013261281725,0.28682989096735784,0.11919313647608841,0.2571331042162424
18,Africa,2008,0.2078044695596453,0.13386881209993856,0.2889288563112438,0.11828829928189337,0.2511095627472789
19,Africa,2009,0.21031857296148068,0.13608935294551663,0.29079652802287276,0.11729201818957939,0.2455035278805505
20,Africa,2010,0.21267397229009113,0.13817651373052622,0.29273644686968775,0.11623005840010289,0.24018300870959208
21,Africa,2011,0.21444251281766682,0.13976517542519729,0.2946030818824542,0.11560318002143086,0.2355860498532508
22,Africa,2012,0.21618960559509376,0.1417985253000079,0.2960396002058258,0.11433614481369797,0.23163612408537457
23,Africa,2013,0.21816593686607022,0.14348817827384366,0.29738711034783305,0.11342377661186974,0.22753499790038345
24,Africa,2014,0.2199332552010233,0.14565361455418183,0.2987373744018525,0.11218487483434421,0.22349088100859824
25,Africa,2015,0.22097448685558688,0.14762311375603812,0.29894992083426547,0.1108674066947597,0.22158507185934986
26,Africa,2016,0.2224516212719305,0.14967947114675373,0.3001117318923785,0.11001822055417436,0.21773895513476305
27,Africa,2017,0.2234883486932702,0.15156167587752042,0.301600952526598,0.10935167930170075,0.21399734360091058
28,Americas,1990,0.16750747748497596,0.14794971558936051,0.2874068427450754,0.30186667773122505,0.09526928644936306
29,Americas,1991,0.16776808684213362,0.1510295146801366,0.2881009225050778,0.2977352744370365,0.09536620153561554
30,Americas,1992,0.16887016857503012,0.15416959817095505,0.28785510846575835,0.29340558642597003,0.09569953836228656
31,Americas,1993,0.16983928131859669,0.15740927259256066,0.2881576122922603,0.2892749683661534,0.09531886543042903
32,Americas,1994,0.17129471793619525,0.16076941203678005,0.28799036697902736,0.2851562181206099,0.09478928492738738
33,Americas,1995,0.17320260093267492,0.16400382864678845,0.28742222557790215,0.2815028794716608,0.09386846537097371
34,Americas,1996,0.17526140106177115,0.16703392147171325,0.2863225308869248,0.27767215860776734,0.09370998797182338
35,Americas,1997,0.17785860045127994,0.17011266328802976,0.28474597844685656,0.27374354424003305,0.09353921357380075
36,Americas,1998,0.18087530271732152,0.1731238398379711,0.28354746724113045,0.26941157785301445,0.09304181235056244
37,Americas,1999,0.1837278735992663,0.17625948124829938,0.28249935293483575,0.26544882374455864,0.09206446847303994
38,Americas,2000,0.18631819283358683,0.17946949175492458,0.28091773010497373,0.2622521416250191,0.09104244368149565
39,Americas,2001,0.18909053034311982,0.18220924562366445,0.27892893615082237,0.2588940372150433,0.0908772506673501
40,Americas,2002,0.19257875932583754,0.18501137120900749,0.2762075096767126,0.25548269989149536,0.09071965989694701
41,Americas,2003,0.19624181252478434,0.18773444374795176,0.2735367959722954,0.2519626947287666,0.09052425302620185
42,Americas,2004,0.19962140900723746,0.19034690364920903,0.2707586868166718,0.24907884563544297,0.0901941548914387
43,Americas,2005,0.20321035547333302,0.19291571423096196,0.26852185604173706,0.24602663572853833,0.08932543852542965
44,Americas,2006,0.20679479944466875,0.19494925048722342,0.2665862362818737,0.24253204670709766,0.08913766707913648
45,Americas,2007,0.21177429908827963,0.19668354915706884,0.2644461804300802,0.2384668618684785,0.08862910945609277
46,Americas,2008,0.21722036518481191,0.19863225044754132,0.2623690219848266,0.23367901167614205,0.088099350706678
47,Americas,2009,0.2217402477496559,0.20070084815181435,0.2607948594562861,0.22904548958644028,0.08771855505580337
48,Americas,2010,0.22439146766563003,0.20239061676161157,0.2609655696168854,0.2251931240313318,0.08705922192454119
49,Americas,2011,0.22530985010796042,0.2040072795868399,0.2609410835186122,0.22188245218736619,0.08785933459922123
50,Americas,2012,0.22737234702436418,0.20645607494258045,0.26176806684179743,0.21899399147401297,0.08540951971724497
